advertiser,election,topic,spend_week,spend_month,spend
CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/06,2024_10,4.9999
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/15-10/21,2024_10,133.0419064
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/08-10/14,2024_10,8475.60425
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/07,2024_10,20613.49124
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/14,2024_10,
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_11/05-11/11,2024_11,
FUTURE FORWARD & SEIU,PRES,Economy & Labor,2024_10/29-11/11,2024_11,
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/22-11/04,2024_10,
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/29-11/11,2024_11,
PEOPLE POWER PA,PRESIDENT,Abortion,2024_10/22-10/28,2024_10,4.1666
PROJECT FREEDOM,PRES,Abortion,2024_10/08-10/13,2024_10,9919.897062
RNC,PRES,Economy & Labor,2024_10/08-10/14,2024_10,719.5121973
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/22-11/04,2024_10,8.1248975
AB PAC,PRES,Economy & Labor,2024_10/15-10/28,2024_10,4.1666
AB PAC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,2.5
VETERANS ON DUTY,PRES,Immigration,2024_10/22-11/04,2024_10,2.5
AB PAC,PRES,Abortion,2024_10/29-11/04,2024_11,48779.28999
AB PAC,PRES,Abortion,2024_10/29-11/11,2024_11,16768.3006
ACTION FOR A PROGRESSIVE FUTURE,PRES,Abortion,2024_10/01-10/07,2024_10,13.54129688
AMERICA PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_11,25820.94234
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/01-10/07,2024_10,437.7020898
DONALD TRUMP PRESIDENT,PRESIDENT,Economy & Labor,2024_10/22-11/04,2024_10,12050.76287
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/01-10/14,2024_10,10.6249
RESTORATION PAC,PRES,Immigration,2024_10/29-11/04,2024_11,36.66552501
RIGHT FOR AMERICA,PRES,Immigration,2024_10/01-10/07,2024_10,30774.93921
IBEW,PRES,Economy & Labor,2024_10/29-11/03,2024_11,3.1249
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/22-10/28,2024_10,68.95460422
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/22-10/28,2024_10,9.374809375
PRIORITIES USA & ONE APIA NV,PRES,Economy & Labor,2024_10/29-11/11,2024_11,2.5
TRUST IN THE MISSION PAC,PRES,Immigration,2024_10/29-11/03,2024_11,3.124903125
TIM SCOTT PRESIDENT,PRES,Immigration,2024_10/29-11/03,2024_11,2.5
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/29-11/03,2024_11,151352.6616
LIUNA,PRES,Economy & Labor,2024_10/29-11/03,2024_11,84261.81008
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/29-11/04,2024_11,2795.827093
PRIORITIES USA & SOMOS,PRES,Immigration,2024_10/22-10/27,2024_10,4825.887734
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/29-11/04,2024_10,90110.49116
RNC,PRES,Immigration,2024_10/22-10/27,2024_10,134.3744119
RSLC,PRES,Immigration,2024_10/15-10/21,2024_10,19709.47182
WISCO PROJECT,PRES,Immigration,2024_10/29-11/04,2024_10,8.118553328
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,PRES,Climate & Energy,2024_10/29-11/04,2024_11,8.1249
FUTURE FORWARD & SOMOS,PRES,Immigration,2024_10/29-11/11,2024_11,2.5
WISCO PROJECT,PRES,Abortion,2024_10/29-11/04,2024_11,2.4999025
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/29-11/03,2024_11,2.4999975
CLIMATE POWER,PRES,Climate & Energy,2024_10/29-11/11,2024_11,2293.538605
KAMALA HARRIS PRESIDENT,PRESIDENT,Abortion,2024_10/01-10/07,2024_10,1214042.686
LOCAL VOICES,PRES,Economy & Labor,2024_10/22-10/27,2024_10,2313.121658
MAJORITY PAC,PRES,Economy & Labor,2024_10/15-10/20,2024_10,55145.01637
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/29-11/04,2024_11,290694.0984
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/01-10/14,2024_10,32833.21456
NIKKI HALEY PRESIDENT,PRES,Immigration,2024_10/01-10/07,2024_10,2.07393765
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/22-10/28,2024_10,123515.5807
PEOPLE POWER PA,PRES,Immigration,2024_10/29-11/04,2024_11,18282.95503
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/29-11/03,2024_11,680.5297992
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/29-11/03,2024_11,11608.29632
RNC,PRES,Economy & Labor,2024_10/22-11/04,2024_10,163.3319031
PROTECT US FAMILIES,PRES,Climate & Energy,2024_10/15-10/21,2024_10,2.5
BEST OF AMERICA,PRES,Economy & Labor,2024_10/01-10/06,2024_10,2.5
AB PAC,PRES,Abortion,2024_10/01-10/07,2024_10,394167.99
DAN NEWLIN,PRES,Abortion,2024_10/15-10/28,2024_10,804.9970313
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/01-10/14,2024_10,5602.350506
FUTURE FORWARD,PRES,Economy & Labor,2024_10/01-10/06,2024_10,447254.317
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/13,2024_10,18315.74656
FUTURE FORWARD & SOMOS,PRES,Immigration,2024_10/01-10/07,2024_10,38560.93727
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/29-11/04,2024_11,199.773701
MAJORITY PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,29.9998
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/22-10/28,2024_10,5354395.478
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_10/01-10/07,2024_10,9.7915
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/22-10/27,2024_10,47954.02431
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/08-10/14,2024_10,62.9160025
PLANNED PARENTHOOD,PRES,Abortion,2024_10/15-10/21,2024_10,5010.768779
RESTORATION PAC,PRES,Economy & Labor,2024_10/01-10/07,2024_10,376438.0332
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/15-10/21,2024_10,106803.2259
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/08-10/14,2024_10,1825359.503
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/29-11/04,2024_10,734460.3441
SEIU,PRES,Abortion,2024_10/22-10/27,2024_10,14744.27275
UA,PRES,Economy & Labor,2024_10/22-11/04,2024_10,16.2498
EMILY'S LIST / WOMEN VOTE,PRES,Abortion,2024_10/01-10/07,2024_10,
FUTURE FORWARD,PRES,Education,2024_10/29-11/04,2024_11,
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/29-11/04,2024_10,
JOE BIDEN PRESIDENT,PRES,Abortion,2024_10/08-10/21,2024_10,
PASS THE TORCH,PRES,Abortion,2024_10/08-10/13,2024_10,
PLANNED PARENTHOOD,PRES,Abortion,2024_10/08-10/13,2024_10,4179.372994
PRESERVE AMERICA PAC,PRES,Economy & Labor,2024_10/29-11/03,2024_11,1605.204603
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/15-10/28,2024_10,2507.510006
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_11/05-11/11,2024_11,93.1239
CAMPAIGN FOR DEMOCRACY,PRES,Abortion,2024_10/01-10/07,2024_10,2.5
RESTORATION PAC,PRES,Immigration,2024_10/29-11/03,2024_11,4.9999
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_10/15-10/28,2024_10,2.080104218
BEST OF AMERICA,PRES,Economy & Labor,2024_10/08-10/14,2024_10,7.5
FUTURE FORWARD,PRESIDENT,Abortion,2024_10/29-11/04,2024_11,24942.37929
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_11/05-11/11,2024_11,9901.031211
PROJECT FREEDOM,PRES,Abortion,2024_10/15-10/21,2024_10,46489.96831
RESTORATION PAC,PRES,Economy & Labor,2024_10/22-11/04,2024_10,48426.33971
RIGHT FOR AMERICA,PRES,Immigration,2024_10/29-11/03,2024_11,3714.397567
RIGHT FOR AMERICA,PRES,Immigration,2024_10/15-10/20,2024_10,21881.79255
RSLC,PRES,Immigration,2024_10/29-11/04,2024_10,10.6249
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/29-11/03,2024_11,2785857.499
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/29-11/11,2024_11,46.57390422
POWER TO THE POLLS,PRES,Abortion,2024_10/29-11/04,2024_10,1237.4993
AARP,PRES,Economy & Labor,2024_10/01-10/07,2024_10,5.6249
NEVER BACK DOWN,PRES,Education,2024_10/29-11/04,2024_11,2.5
RYAN BINKLEY PRESIDENT,PRES,Immigration,2024_10/22-10/27,2024_10,4.9999
ROBERT KENNEDY PRESIDENT,PRES,Economy & Labor,2024_10/29-11/04,2024_11,6.2499
CLIMATE POWER,PRES,Climate & Energy,2024_11/05-11/11,2024_11,1336.873072
DAN NEWLIN,PRES,Abortion,2024_10/01-10/07,2024_10,312.2889813
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/22-11/04,2024_10,312994.4692
FUTURE FORWARD & WORKING FAMILIES PARTY,PRES,Economy & Labor,2024_10/29-11/04,2024_10,90680.96417
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/22-11/04,2024_10,1238.738473
LIUNA,PRES,Economy & Labor,2024_10/22-10/28,2024_10,57391.15852
NATL NURSES UNITED,PRES,Abortion,2024_10/08-10/13,2024_10,9354.185037
PIVOT PAC,PRES,Economy & Labor,2024_10/22-11/04,2024_10,15817.26869
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/22-10/28,2024_10,51485.79427
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/29-11/11,2024_11,2718.1212
RBG PAC,PRES,Abortion,2024_10/29-11/04,2024_10,3381951.369
RESTORATION PAC,PRES,Economy & Labor,2024_10/29-11/11,2024_11,41701.99297
RNC,PRES,Immigration,2024_10/15-10/21,2024_10,534.78787
RNC,PRES,Immigration,2024_10/29-11/11,2024_11,402.4981125
WON'T PAC DOWN,PRES,Abortion,2024_10/29-11/03,2024_11,23714.54582
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/01-10/06,2024_10,21.57070844
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_10/29-11/11,2024_11,17692.75405
PRIORITIES USA & ONE APIA NV,PRES,Economy & Labor,2024_10/29-11/04,2024_10,2.5
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/08-10/21,2024_10,2538.047516
FUTURE FORWARD,PRES,Economy & Labor,2024_10/29-11/04,2024_10,5720206.598
FUTURE FORWARD,PRES,Abortion,2024_10/08-10/21,2024_10,83273.92867
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_11/05-11/11,2024_11,71285.61133
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/15-10/28,2024_10,377521.8515
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/29-11/04,2024_11,1670019.609
LINCOLN PROJECT,PRES,Abortion,2024_10/15-10/21,2024_10,406.2299523
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_10/29-11/03,2024_11,1148.955038
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_10/29-11/11,2024_11,402.08184
MILLIONS OF MI,PRES,Climate & Energy,2024_10/22-10/27,2024_10,172.4987
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/29-11/04,2024_11,67.82320109
PLANNED PARENTHOOD,PRES,Abortion,2024_10/01-10/06,2024_10,3885.6236
